Code,Description1,Description2,Type,Unknown1,Unknown2,Unknown3,Unknown4,last_updated
A4566001003,"Shoulder sling or vest design, abduction restrainer, with or without swathe",Should sling/vest/abrestrain00      9,,,I,Z2,9      0201101012011,2025-09-12 20:34:03
A4566002004,"control, prefabricated, includes fitting and adjustment",,,,,,,2025-09-12 20:34:03
A4570001003,Splint,Splint                      52      A                  2079,,,I,D1A,P      0198201012001,2025-09-12 20:34:03
A4575001003,"Topical hyperbaric oxygen chamber, disposable",Hyperbaric o2 chamber disps 00      9,,,C,0170D1A,9      0199601012017,2025-09-12 20:34:03
A4580001003,"Cast supplies (e.g., plaster)",Cast supplies (plaster)     00      9                  2079,,,I,D1A,9      0198201011982,2025-09-12 20:34:03
A4590001003,"Special casting material (e.g., fiberglass)",Special casting material    00      9                  2079,,,I,D1A,9      0198401011984,2025-09-12 20:34:03
A4593001003,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime,",Neuromod sti sys adj rehab  36      A,,,C,D1E,R      0202404012025,2025-09-12 20:34:03
A4593002004,controller,,,,,,,2025-09-12 20:34:03
A4594001003,"Neuromodulation stimulator system, adjunct to rehabilitation therapy regime,",Neuromod adj rehab mouthpie 32      A,,,C,D1E,P      0202404012025,2025-09-12 20:34:03
A4594002004,mouthpiece each,,,,,,,2025-09-12 20:34:03
A4595001003,"Electrical stimulator supplies, 2 lead, per month, (e.g., tens, nmes)",Tens suppl 2 lead per month 34      A45-25,,,D,D1E,P      0199601012003,2025-09-12 20:34:03
A4596001003,"Cranial electrotherapy stimulation (ces) system supplies and accessories, per",Ces system monthly supp     34      A,,,C,D1E,P      0202210012022,2025-09-12 20:34:03
A4596002004,month,,,,,,,2025-09-12 20:34:03
A4600001003,"Sleeve for intermittent limb compression device, replacement only, each","Sleeve, inter limb comp dev 32      A",,,C,D1E,P      0200701012007,2025-09-12 20:34:03
A4601001003,"Lithium ion battery, rechargeable, for non-prosthetic use, replacement",Lith ion non prosth recharge32      A,,,C,D1E,P      0200701012015,2025-09-12 20:34:03
A4602001003,"Replacement battery for external infusion pump owned by patient, lithium, 1.5",Replace lithium battery 1.5v32      A,,,C,D1E,P      0201501012015,2025-09-12 20:34:03
A4602002004,"volt, each",,,,,,,2025-09-12 20:34:03
A4604001003,Tubing with integrated heating element for use with positive airway pressure,Tubing with heating element 32      A,,,C,D1E,P      0200601012006,2025-09-12 20:34:03
A4604002004,device,,,,,,,2025-09-12 20:34:03
A4605001003,"Tracheal suction catheter, closed system, each",Trach suction cath close sys32      A,,,C,D1E,P      0200501012005,2025-09-12 20:34:03
A4606001003,"Oxygen probe for use with oximeter device, replacement",Oxygen probe used w oximeter00      9,,,C,D1E,9      0200301012003,2025-09-12 20:34:03
A4608001003,"Transtracheal oxygen catheter, each",Transtracheal oxygen cath   00      9,,,C,D1C,P      0200101012014,2025-09-12 20:34:03
A4611001003,"Battery, heavy duty; replacement for patient owned ventilator",Heavy duty battery          00      9                                          1834a3A,,,S,D1E,P      0199001012014,2025-09-12 20:34:03
A4612001003,Battery cables; replacement for patient-owned ventilator,Battery cables              00      9                                          1834a3A,,,S,D1E,P      0199001012014,2025-09-12 20:34:03
A4613001003,Battery charger; replacement for patient-owned ventilator,Battery charger             00      9                                          1834a3A,,,S,D1E,P      0199001012014,2025-09-12 20:34:03
A4614001003,"Peak expiratory flow rate meter, hand held",Hand-held pefr meter        46      A,,,C,Z2,9      0199901011999,2025-09-12 20:34:03
A4615001003,"Cannula, nasal",Cannula nasal               00      960-4              3312,,,D,D1C,P      0199001012009,2025-09-12 20:34:03
A4616001003,"Tubing (oxygen), per foot",Tubing (oxygen) per foot    00      960-4              3312,,,D,D1C,P      0199001012009,2025-09-12 20:34:03
A4617001003,Mouth piece,Mouth piece                 00      960-4              3312,,,D,D1C,P      0199001012009,2025-09-12 20:34:03
A4618001003,Breathing circuits,Breathing circuits          32      A60-4              3312,,,D,D1E,APR    0199001011993,2025-09-12 20:34:03
A4619001003,Face tent,Face tent                   32      A60-4              3312,,,D,D1E,P      0199001012011,2025-09-12 20:34:03
A4620001003,Variable concentration mask,Variable concentration mask 00      960-4              3312,,,D,D1C,P      0199001012009,2025-09-12 20:34:03
A4623001003,"Tracheostomy, inner cannula",Tracheostomy inner cannula  37      A65-16             2130,,,D,D1F,P      0199001012004,2025-09-12 20:34:03
A4624001003,"Tracheal suction catheter, any type other than closed system, each",Tracheal suction tube       32      A,,,C,D1E,P      0199001012003,2025-09-12 20:34:03
A4625001003,Tracheostomy care kit for new tracheostomy,Trach care kit for new trach37      A                  2130,,,D,D1F,P      0199001012003,2025-09-12 20:34:03
